"College","Type","Pell_Share","State","Year"
"college of the ozarks","Private",50,"MO",2020
"agnes scott college","Private",47,"GA",2020
"florida international university","Public",47,"FL",2020
"pacific union college","Private",43,"CA",2020
"houghton college","Private",42,"NY",2020
"brescia university","Private",41,"KY",2020
"stockton university","Public",41,"NJ",2020
"earlham college","Private",40,"IN",2020
"hampshire college","Private",39,"MA",2020
"millsaps college","Private",40,"MS",2020
"lake forest college","Private",40,"IL",2020
"lyon college","Private",39,"AR",2020
"christian brothers university","Private",39,"TN",2020
"stony brook university","Public",39,"NY",2020
"king university","Private",38,"TN",2020
"loyola university new orleans","Private",38,"LA",2020
"beloit college","Private",37,"WI",2020
"university of the pacific","Private",37,"CA",2020
"new college of florida","Public",35,"FL",2020
"knox college","Private",35,"IL",2020
"willamette university","Private",35,"OR",2020
"new mexico institute of mining and technology","Public",34,"NM",2020
"southwestern university","Private",34,"TX",2020
"mount st marys university","Private",34,"MD",2020
"university at buffalo","Public",34,"NY",2020
"college of the atlantic","Private",33,"ME",2020
"hanover college","Private",33,"IN",2020
"allegheny college","Private",33,"PA",2020
"william jewell college","Private",32,"MO",2020
"austin college","Private",32,"TX",2020
"illinois institute of technology","Private",32,"IL",2020
"university of idaho","Public",32,"ID",2020
"rowan university","Public",32,"NJ",2020
"salem college","Private",69,"NC",2020
"university of dallas","Private",31,"TX",2020
"university of evansville","Private",31,"IN",2020
"bennington college","Private",30,"VT",2020
"kalamazoo college","Private",30,"MI",2020
"ramapo college of new jersey","Public",30,"NJ",2020
"rochester institute of technology","Private",30,"NY",2020
"transylvania university","Private",29,"KY",2020
"cornell college","Private",29,"IA",2020
"mount holyoke college","Private",29,"MA",2020
"university of south florida","Public",29,"FL",2020
"hendrix college","Private",28,"AR",2020
"george mason university","Public",28,"VA",2020
"university of central florida","Public",28,"FL",2020
"university of alaska fairbanks","Public",27,"AK",2020
"augustana college","Private",27,"IL",2020
"bard college","Private",26,"NY",2020
"illinois wesleyan university","Private",26,"IL",2020
"suny college at geneseo","Public",26,"NY",2020
"university of maine","Public",26,"ME",2020
"binghamton university","Public",26,"NY",2020
"university of illinois urbanachampaign","Public",26,"IL",2020
"st johns college","Private",25,"NM",2020
"st johns college","Private",25,"MD",2020
"rollins college","Private",25,"FL",2020
"macalester college","Private",25,"MN",2020
"susquehanna university","Private",25,"PA",2020
"gustavus adolphus college","Private",25,"MN",2020
"university of arizona","Public",25,"AZ",2020
"florida state university","Public",25,"FL",2020
"bard college at simons rock","Private",24,"MA",2020
"lawrence university","Private",24,"WI",2020
"berry college","Private",24,"GA",2020
"university of south dakota","Public",24,"SD",2020
"hofstra university","Private",24,"NY",2020
"university of oregon","Public",24,"OR",2020
"university of utah","Public",24,"UT",2020
"claremont mckenna college","Private",23,"CA",2020
"st marys college of maryland","Public",23,"MD",2020
"wheaton college","Private",23,"MA",2020
"university of rhode island","Public",23,"RI",2020
"west virginia university","Public",23,"WV",2020
"thomas aquinas college","Private",22,"CA",2020
"centre college","Private",22,"KY",2020
"grinnell college","Private",22,"IA",2020
"swarthmore college","Private",22,"PA",2020
"wheaton college","Private",22,"IL",2020
"university of tulsa","Private",22,"OK",2020
"st lawrence university","Private",22,"NY",2020
"milwaukee school of engineering","Private",22,"WI",2020
"wellesley college","Private",22,"MA",2020
"st olaf college","Private",22,"MN",2020
"harvard university","Private",22,"MA",2020
"loyola university chicago","Private",22,"IL",2020
"university of mississippi","Public",22,"MS",2020
"university of connecticut","Public",22,"CT",2020
"university of kentucky","Public",22,"KY",2020
"university of florida","Public",22,"FL",2020
"pomona college","Private",21,"CA",2020
"amherst college","Private",21,"MA",2020
"trinity university","Private",21,"TX",2020
"truman state university","Public",21,"MO",2020
"pepperdine university","Private",21,"CA",2020
"seattle university","Private",21,"WA",2020
"massachusetts institute of technology","Private",21,"MA",2020
"michigan technological university","Public",21,"MI",2020
"yale university","Private",21,"CT",2020
"marquette university","Private",21,"WI",2020
"fordham university","Private",21,"NY",2020
"university of southern california","Private",21,"CA",2020
"williams college","Private",20,"MA",2020
"clark university","Private",20,"MA",2020
"dickinson college","Private",20,"PA",2020
"muhlenberg college","Private",20,"PA",2020
"gettysburg college","Private",20,"PA",2020
"drake university","Private",20,"IA",2020
"stevens institute of technology","Private",20,"NJ",2020
"johns hopkins university","Private",20,"MD",2020
"rensselaer polytechnic institute","Private",20,"NY",2020
"chapman university","Private",20,"CA",2020
"stanford university","Private",20,"CA",2020
"northwestern university","Private",20,"IL",2020
"boston university","Private",20,"MA",2020
"university of kansas","Public",20,"KS",2020
"lewis clark college","Private",19,"OR",2020
"smith college","Private",19,"MA",2020
"colorado college","Private",19,"CO",2020
"vassar college","Private",19,"NY",2020
"middlebury college","Private",19,"VT",2020
"babson college","Private",19,"MA",2020
"cedarville university","Private",19,"OH",2020
"loyola university maryland","Private",19,"MD",2020
"emory university","Private",19,"GA",2020
"university of rochester","Private",19,"NY",2020
"lehigh university","Private",19,"PA",2020
"university of pennsylvania","Private",19,"PA",2020
"university of puget sound","Private",18,"WA",2020
"occidental college","Private",18,"CA",2020
"ursinus college","Private",18,"PA",2020
"hamilton college","Private",18,"NY",2020
"wofford college","Private",18,"SC",2020
"barnard college","Private",18,"NY",2020
"wesleyan university","Private",18,"CT",2020
"university of san diego","Private",18,"CA",2020
"princeton university","Private",18,"NJ",2020
"american university","Private",18,"DC",2020
"vanderbilt university","Private",18,"TN",2020
"cornell university","Private",18,"NY",2020
"syracuse university","Private",18,"NY",2020
"university of iowa","Public",18,"IA",2020
"university of arkansas","Public",18,"AR",2020
"new york university","Private",18,"NY",2020
"kettering university","Private",17,"MI",2020
"bryn mawr college","Private",17,"PA",2020
"depauw university","Private",17,"IN",2020
"connecticut college","Private",17,"CT",2020
"carleton college","Private",17,"MN",2020
"brandeis university","Private",17,"MA",2020
