"College","Type","Pell_Share","State","Year"
"Berea College","Private",94,"Ky.",2023
"Salem College","Private",69,"N.C.",2023
"CUNY Baruch College","Public",56,"N.Y.",2023
"College of Mount St. Vincent","Private",52,"N.Y.",2023
"College of the Ozarks","Private",50,"Mo.",2023
"Agnes Scott College","Private",47,"Ga.",2023
"Florida International University","Public",47,"Fla.",2023
"Pacific Union College","Private",43,"Calif.",2023
"Houghton College","Private",42,"N.Y.",2023
"University of New Mexico","Public",42,"N.M.",2023
"Brescia University","Private",41,"Ky.",2023
"Stockton University","Public",41,"N.J.",2023
"Earlham College","Private",40,"Ind.",2023
"Lake Forest College","Private",40,"Ill.",2023
"Millsaps College","Private",40,"Miss.",2023
"Christian Brothers University","Private",39,"Tenn.",2023
"Hampshire College","Private",39,"Mass.",2023
"Lyon College","Private",39,"Ark.",2023
"Stony Brook University","Public",39,"N.Y.",2023
"University of California, Irvine","Public",39,"Calif.",2023
"King University","Private",38,"Tenn.",2023
"Loyola University New Orleans","Private",38,"La.",2023
"Beloit College","Private",37,"Wis.",2023
"University of the Pacific","Private",37,"Calif.",2023
"Knox College","Private",35,"Ill.",2023
"New College of Florida","Public",35,"Fla.",2023
"Willamette University","Private",35,"Ore.",2023
"Mount St. Mary’s University","Private",34,"Md.",2023
"New Mexico Institute of Mining and Technology","Public",34,"N.M.",2023
"Southwestern University","Private",34,"Texas",2023
"University at Buffalo","Public",34,"N.Y.",2023
"Allegheny College","Private",33,"Pa.",2023
"College of the Atlantic","Private",33,"Maine",2023
"Hanover College","Private",33,"Ind.",2023
"Austin College","Private",32,"Texas",2023
"Illinois Institute of Technology","Private",32,"Ill.",2023
"Rowan University","Public",32,"N.J.",2023
"University of Idaho","Public",32,"Idaho",2023
"University of Montana","Public",32,"Mont.",2023
"William Jewell College","Private",32,"Mo.",2023
"University of Dallas","Private",31,"Texas",2023
"University of Evansville","Private",31,"Ind.",2023
"Bennington College","Private",30,"Vt.",2023
"Kalamazoo College","Private",30,"Mich.",2023
"Ramapo College of New Jersey","Public",30,"N.J.",2023
"Rochester Institute of Technology","Private",30,"N.Y.",2023
"University of California, Davis","Public",30,"Calif.",2023
"Cooper Union","Private",29,"N.Y.",2023
"Cornell College","Private",29,"Iowa",2023
"Louisiana State University","Public",29,"La.",2023
"Mount Holyoke College","Private",29,"Mass.",2023
"Transylvania University","Private",29,"Ky.",2023
"University of Nevada, Reno","Public",29,"Nev.",2023
"University of South Florida","Public",29,"Fla.",2023
"University of Texas, Austin","Public",29,"Texas",2023
"George Mason University","Public",28,"Va.",2023
"Hendrix College","Private",28,"Ark.",2023
"Hobart and William Smith Colleges","Private",28,"N.Y.",2023
"University of California, Santa Barbara","Public",28,"Calif.",2023
"University of Central Florida","Public",28,"Fla.",2023
"Augustana College","Private",27,"Ill.",2023
"University of Alaska, Fairbanks","Public",27,"Alaska",2023
"Bard College","Private",26,"N.Y.",2023
"Binghamton University","Public",26,"N.Y.",2023
"Illinois Wesleyan University","Private",26,"Ill.",2023
"Rutgers University","Public",26,"N.J.",2023
"SUNY College at Geneseo","Public",26,"N.Y.",2023
"University of Illinois, Urbana-Champaign","Public",26,"Ill.",2023
"University of Maine","Public",26,"Maine",2023
"University of Nebraska, Lincoln","Public",26,"Neb.",2023
"Florida State University","Public",25,"Fla.",2023
"Franklin & Marshall College","Private",25,"Pa.",2023
"Gustavus Adolphus College","Private",25,"Minn.",2023
"Macalester College","Private",25,"Minn.",2023
"Rollins College","Private",25,"Fla.",2023
"St. John’s College","Private",25,"N.M.",2023
"St. John’s College","Private",25,"Md.",2023
"Susquehanna University","Private",25,"Pa.",2023
"University of Arizona","Public",25,"Ariz.",2023
"University of California, Berkeley","Public",25,"Calif.",2023
"Bard College at Simon’s Rock","Private",24,"Mass.",2023
"Berry College","Private",24,"Ga.",2023
"Hofstra University","Private",24,"N.Y.",2023
"Lawrence University","Private",24,"Wis.",2023
"University of Alabama, Huntsville","Public",24,"Ala.",2023
"University of California, San Diego","Public",24,"Calif.",2023
"University of Oregon","Public",24,"Ore.",2023
"University of South Dakota","Public",24,"S.D.",2023
"University of Texas, Dallas","Public",24,"Texas",2023
"University of Utah","Public",24,"Utah",2023
"Claremont McKenna College","Private",23,"Calif.",2023
"College of Wooster","Private",23,"Ohio",2023
"St. Mary’s College of Maryland","Public",23,"Md.",2023
"University of Hawaii, Manoa","Public",23,"Hawaii",2023
"University of Oklahoma","Public",23,"Okla.",2023
"University of Rhode Island","Public",23,"R.I.",2023
"University of Tennessee","Public",23,"Tenn.",2023
"West Virginia University","Public",23,"W.Va.",2023
"Wheaton College","Private",23,"Mass.",2023
"Centre College","Private",22,"Ky.",2023
"Grinnell College","Private",22,"Iowa",2023
"Harvard University","Private",22,"Mass.",2023
"Loyola University Chicago","Private",22,"Ill.",2023
"Milwaukee School of Engineering","Private",22,"Wis.",2023
"St. Lawrence University","Private",22,"N.Y.",2023
"St. Olaf College","Private",22,"Minn.",2023
"Swarthmore College","Private",22,"Pa.",2023
"Thomas Aquinas College","Private",22,"Calif.",2023
"University of California, Los Angeles","Public",22,"Calif.",2023
"University of Connecticut","Public",22,"Conn.",2023
"University of Florida","Public",22,"Fla.",2023
"University of Kentucky","Public",22,"Ky.",2023
"University of Mississippi","Public",22,"Miss.",2023
"University of Tulsa","Private",22,"Okla.",2023
"Wellesley College","Private",22,"Mass.",2023
"Wheaton College","Private",22,"Ill.",2023
"Amherst College","Private",21,"Mass.",2023
"Columbia University","Private",21,"N.Y.",2023
"Fordham University","Private",21,"N.Y.",2023
"Marquette University","Private",21,"Wis.",2023
"Massachusetts Institute of Technology","Private",21,"Mass.",2023
"Michigan Technological University","Public",21,"Mich.",2023
"Pepperdine University","Private",21,"Calif.",2023
"Pomona College","Private",21,"Calif.",2023
"Seattle University","Private",21,"Wash.",2023
"Trinity University","Private",21,"Texas",2023
"Truman State University","Public",21,"Mo.",2023
"University of Missouri","Public",21,"Mo.",2023
"University of New Hampshire","Public",21,"N.H.",2023
"University of North Carolina, Chapel Hill","Public",21,"N.C.",2023
"University of Southern California","Private",21,"Calif.",2023
"Yale University","Private",21,"Conn.",2023
"Boston University","Private",20,"Mass.",2023
"Chapman University","Private",20,"Calif.",2023
"Clark University","Private",20,"Mass.",2023
"Dickinson College","Private",20,"Pa.",2023
"Drake University","Private",20,"Iowa",2023
"Gettysburg College","Private",20,"Pa.",2023
"Johns Hopkins University","Private",20,"Md.",2023
"Muhlenberg College","Private",20,"Pa.",2023
"Northwestern University","Private",20,"Ill.",2023
"Rensselaer Polytechnic Institute","Private",20,"N.Y.",2023
"Stanford University","Private",20,"Calif.",2023
"Stevens Institute of Technology","Private",20,"N.J.",2023
"Texas A&M University","Public",20,"Texas",2023
"University of Kansas","Public",20,"Kan.",2023
"University of Massachusetts, Amherst","Public",20,"Mass.",2023
"Williams College","Private",20,"Mass.",2023
"Babson College","Private",19,"Mass.",2023
"Cedarville University","Private",19,"Ohio",2023
"Colorado College","Private",19,"Colo.",2023
"Emory University","Private",19,"Ga.",2023
"Indiana University, Bloomington","Public",19,"Ind.",2023
"Lehigh University","Private",19,"Pa.",2023
"Lewis & Clark College","Private",19,"Ore.",2023
"Loyola University Maryland","Private",19,"Md.",2023
"Middlebury College","Private",19,"Vt.",2023
"Smith College","Private",19,"Mass.",2023
"St. Louis University","Private",19,"Mo.",2023
"University of Alabama","Public",19,"Ala.",2023
"University of Pennsylvania","Private",19,"Pa.",2023
"University of Rochester","Private",19,"N.Y.",2023
"University of South Carolina","Public",19,"S.C.",2023
"University of the South","Private",19,"Tenn.",2023
"Vassar College","Private",19,"N.Y.",2023
"American University","Private",18,"D.C.",2023
"Barnard College","Private",18,"N.Y.",2023
"College of New Jersey","Public",18,"N.J.",2023
"Cornell University","Private",18,"N.Y.",2023
"Hamilton College","Private",18,"N.Y.",2023
"New York University","Private",18,"N.Y.",2023
"North Carolina State University","Public",18,"N.C.",2023
"Occidental College","Private",18,"Calif.",2023
"Princeton University","Private",18,"N.J.",2023
"Syracuse University","Private",18,"N.Y.",2023
"University of Arkansas","Public",18,"Ark.",2023
"University of Iowa","Public",18,"Iowa",2023
"University of Minnesota","Public",18,"Minn.",2023
"University of Puget Sound","Private",18,"Wash.",2023
"University of San Diego","Private",18,"Calif.",2023
"University of Washington","Public",18,"Wash.",2023
"Ursinus College","Private",18,"Pa.",2023
"Vanderbilt University","Private",18,"Tenn.",2023
"Wesleyan University","Private",18,"Conn.",2023
"Wofford College","Private",18,"S.C.",2023
"Brandeis University","Private",17,"Mass.",2023
"Bryn Mawr College","Private",17,"Pa.",2023
"Carleton College","Private",17,"Minn.",2023
"Case Western Reserve University","Private",17,"Ohio",2023
"Connecticut College","Private",17,"Conn.",2023
"Dartmouth College","Private",17,"N.H.",2023
"DePauw University","Private",17,"Ind.",2023
"George Washington University","Private",17,"D.C.",2023
"Georgia College & State University","Public",17,"Ga.",2023
"Hope College","Private",17,"Mich.",2023
"Kettering University","Private",17,"Mich.",2023
"Missouri University of Science and Technology","Public",17,"Mo.",2023
"Ohio State University","Public",17,"Ohio",2023
"Providence College","Private",17,"R.I.",2023
"Rice University","Private",17,"Texas",2023
"University of Delaware","Public",17,"Del.",2023
"University of North Dakota","Public",17,"N.D.",2023
"University of Pittsburgh","Public",17,"Pa.",2023
"University of Richmond","Private",17,"Va.",2023
"University of Wisconsin, Madison","Public",17,"Wis.",2023
"University of Wyoming","Public",17,"Wyo.",2023
"Baylor University","Private",16,"Texas",2023
"Belmont University","Private",16,"Tenn.",2023
"Bowdoin College","Private",16,"Maine",2023
"Gonzaga University","Private",16,"Wash.",2023
"Haverford College","Private",16,"Pa.",2023
"Rhodes College","Private",16,"Tenn.",2023
"Taylor University","Private",16,"Ind.",2023
"University of Denver","Private",16,"Colo.",2023
"University of Georgia","Public",16,"Ga.",2023
"University of Michigan","Public",16,"Mich.",2023
"Virginia Polytechnic Institute","Public",16,"Va.",2023
"Washington University in St. Louis","Private",16,"Mo.",2023
"Whitman College","Private",16,"Wash.",2023
"Bentley University","Private",15,"Mass.",2023
"Butler University","Private",15,"Ind.",2023
"Davidson College","Private",15,"N.C.",2023
"Endicott College","Private",15,"Mass.",2023
"Quinnipiac University","Private",15,"Conn.",2023
"Sarah Lawrence College","Private",15,"N.Y.",2023
"Stonehill College","Private",15,"Mass.",2023
"Trinity College","Private",15,"Conn.",2023
"University of Maryland, College Park","Public",15,"Md.",2023
"University of Vermont","Public",15,"Vt.",2023
"Brown University","Private",14,"R.I.",2023
"California Polytechnic State University, San Luis Obispo","Public",14,"Calif.",2023
"Calvin University","Private",14,"Mich.",2023
"Carnegie Mellon University","Private",14,"Pa.",2023
"Colby College","Private",14,"Maine",2023
"Denison University","Private",14,"Ohio",2023
"Emerson College","Private",14,"Mass.",2023
"Georgetown University","Private",14,"D.C.",2023
"Miami University","Public",14,"Ohio",2023
"Olin College of Engineering","Private",14,"Mass.",2023
"Pitzer College","Private",14,"Calif.",2023
"Purdue University","Public",14,"Ind.",2023
"Texas Christian University","Private",14,"Texas",2023
"Union College","Private",14,"N.Y.",2023
"University of Chicago","Private",14,"Ill.",2023
"University of Colorado, Boulder","Public",14,"Colo.",2023
"University of Miami","Private",14,"Fla.",2023
"Westmont College","Private",14,"Calif.",2023
"Clemson University","Public",13,"S.C.",2023
"Colgate University","Private",13,"N.Y.",2023
"College of the Holy Cross","Private",13,"Mass.",2023
"Colorado School of Mines","Public",13,"Colo.",2023
"Creighton University","Private",13,"Neb.",2023
"Harvey Mudd College","Private",13,"Calif.",2023
"Northeastern University","Private",13,"Mass.",2023
"Pennsylvania State University","Public",13,"Pa.",2023
"University of Virginia","Public",13,"Va.",2023
"Boston College","Private",12,"Mass.",2023
"Brigham Young University","Private",12,"Utah",2023
"Duke University","Private",12,"N.C.",2023
"Georgia Institute of Technology","Public",12,"Ga.",2023
"Rose-Hulman Institute of Technology","Private",12,"Ind.",2023
"Skidmore College","Private",12,"N.Y.",2023
"University of Notre Dame","Private",12,"Ind.",2023
"Villanova University","Private",12,"Pa.",2023
"Auburn University","Public",11,"Ala.",2023
"Furman University","Private",11,"S.C.",2023
"Reed College","Private",11,"Ore.",2023
"Tufts University","Private",11,"Mass.",2023
"William & Mary","Public",11,"Va.",2023
"Yeshiva University","Private",11,"N.Y.",2023
"Bucknell University","Private",10,"Pa.",2023
"California Institute of Technology","Private",10,"Calif.",2023
"Kenyon College","Private",10,"Ohio",2023
"Lafayette College","Private",10,"Pa.",2023
"Loyola Marymount University","Private",10,"Calif.",2023
"Wake Forest University","Private",10,"N.C.",2023
"Washington and Lee University","Private",10,"Va.",2023
"Worcester Polytechnic Institute","Private",10,"Mass.",2023
"Elon University","Private",9,"N.C.",2023
"Santa Clara University","Private",9,"Calif.",2023
"Scripps College","Private",9,"Calif.",2023
"Southern Methodist University","Private",9,"Texas",2023
"Bates College","Private",8,"Maine",2023
"Fairfield University","Private",8,"Conn.",2023
"Oberlin College","Private",8,"Ohio",2023
"Tulane University","Private",8,"La.",2023
"Berea College","Private",95,"Ky.",2011
"Salem College","Private",85,"N.C.",2011
"CUNY Baruch College","Public",61,"N.Y.",2011
"College of Mount St. Vincent","Private",47,"N.Y.",2011
"College of the Ozarks","Private",30,"Mo.",2011
"Agnes Scott College","Private",51,"Ga.",2011
"Florida International University","Public",43,"Fla.",2011
"Pacific Union College","Private",48,"Calif.",2011
"Houghton College","Private",41,"N.Y.",2011
"University of New Mexico","Public",46,"N.M.",2011
"Brescia University","Private",24,"Ky.",2011
"Stockton University","Public",41,"N.J.",2011
"Earlham College","Private",49,"Ind.",2011
"Lake Forest College","Private",38,"Ill.",2011
"Millsaps College","Private",59,"Miss.",2011
"Christian Brothers University","Private",30,"Tenn.",2011
"Hampshire College","Private",56,"Mass.",2011
"Lyon College","Private",26,"Ark.",2011
"Stony Brook University","Public",40,"N.Y.",2011
"University of California, Irvine","Public",40,"Calif.",2011
"King University","Private",34,"Tenn.",2011
"Loyola University New Orleans","Private",43,"La.",2011
"Beloit College","Private",50,"Wis.",2011
"University of the Pacific","Private",39,"Calif.",2011
"Knox College","Private",43,"Ill.",2011
