"Name","State","Type","Freshmen_Pell_share","Ranking","Type_Of_Ranking"
"College of the Ozarks","MO","Private",50,"1","Simpsons"
"Agnes Scott College","GA","Private",47,"2","Simpsons"
"Florida International University","FL","Public",47,"3","Simpsons"
"Pacific Union College","CA","Private",43,"4","Simpsons"
"Houghton College","NY","Private",42,"5","Simpsons"
"Brescia University","KY","Private",41,"6","Simpsons"
"Stockton University","NJ","Public",41,"7","Simpsons"
"Earlham College","IN","Private",40,"8","Simpsons"
"Hampshire College","MA","Private",39,"9","Simpsons"
"Millsaps College","MS","Private",40,"10","Simpsons"
"Lake Forest College","IL","Private",40,"11","Simpsons"
"Lyon College","AR","Private",39,"12","Simpsons"
"Christian Brothers University","TN","Private",39,"13","Simpsons"
"Stony Brook University","NY","Public",39,"14","Simpsons"
"King University","TN","Private",38,"15","Simpsons"
"Loyola University New Orleans","LA","Private",38,"16","Simpsons"
"Beloit College","WI","Private",37,"17","Simpsons"
"University of the Pacific","CA","Private",37,"18","Simpsons"
"New College of Florida","FL","Public",35,"19","Simpsons"
"Knox College","IL","Private",35,"20","Simpsons"
"Willamette University","OR","Private",35,"21","Simpsons"
"New Mexico Institute of Mining and Technology","NM","Public",34,"22","Simpsons"
"Southwestern University","TX","Private",34,"23","Simpsons"
"Mount St. Mary’s University","MD","Private",34,"24","Simpsons"
"University at Buffalo","NY","Public",34,"25","Simpsons"
"College of the Atlantic","ME","Private",33,"26","Simpsons"
"Hanover College","IN","Private",33,"27","Simpsons"
"Allegheny College","PA","Private",33,"28","Simpsons"
"William Jewell College","MO","Private",32,"29","Simpsons"
"Austin College","TX","Private",32,"30","Simpsons"
"Illinois Institute of Technology","IL","Private",32,"31","Simpsons"
"University of Idaho","ID","Public",32,"32","Simpsons"
"Rowan University","NJ","Public",32,"33","Simpsons"
"Salem College","NC","Private",69,"34","Simpsons"
"University of Dallas","TX","Private",31,"35","Simpsons"
"University of Evansville","IN","Private",31,"36","Simpsons"
"Bennington College","VT","Private",30,"37","Simpsons"
"Kalamazoo College","MI","Private",30,"38","Simpsons"
"Ramapo College of New Jersey","NJ","Public",30,"39","Simpsons"
"Rochester Institute of Technology","NY","Private",30,"40","Simpsons"
"Transylvania University","KY","Private",29,"41","Simpsons"
"Cornell College","IA","Private",29,"42","Simpsons"
"Mount Holyoke College","MA","Private",29,"43","Simpsons"
"University of South Florida","FL","Public",29,"44","Simpsons"
"Hendrix College","AR","Private",28,"45","Simpsons"
"George Mason University","VA","Public",28,"46","Simpsons"
"University of Central Florida","FL","Public",28,"47","Simpsons"
"University of Alaska, Fairbanks","AK","Public",27,"48","Simpsons"
"Augustana College","IL","Private",27,"49","Simpsons"
"Bard College","NY","Private",26,"50","Simpsons"
"Illinois Wesleyan University","IL","Private",26,"51","Simpsons"
"SUNY College at Geneseo","NY","Public",26,"52","Simpsons"
"University of Maine","ME","Public",26,"53","Simpsons"
"Binghamton University","NY","Public",26,"54","Simpsons"
"University of Illinois, Urbana-Champaign","IL","Public",26,"55","Simpsons"
"St. John’s College","NM","Private",25,"56","Simpsons"
"St. John’s College","MD","Private",25,"57","Simpsons"
"Rollins College","FL","Private",25,"58","Simpsons"
"Macalester College","MN","Private",25,"59","Simpsons"
"Susquehanna University","PA","Private",25,"60","Simpsons"
"Gustavus Adolphus College","MN","Private",25,"61","Simpsons"
"University of Arizona","AZ","Public",25,"62","Simpsons"
"Florida State University","FL","Public",25,"63","Simpsons"
"Bard College at Simon’s Rock","MA","Private",24,"64","Simpsons"
"Lawrence University","WI","Private",24,"65","Simpsons"
"Berry College","GA","Private",24,"66","Simpsons"
"University of South Dakota","SD","Public",24,"67","Simpsons"
"Hofstra University","NY","Private",24,"68","Simpsons"
"University of Oregon","OR","Public",24,"69","Simpsons"
"University of Utah","UT","Public",24,"70","Simpsons"
"Claremont McKenna College","CA","Private",23,"71","Simpsons"
"St. Mary’s College of Maryland","MD","Public",23,"72","Simpsons"
"Wheaton College","MA","Private",23,"73","Simpsons"
"University of Rhode Island","RI","Public",23,"74","Simpsons"
"West Virginia University","WV","Public",23,"75","Simpsons"
"Thomas Aquinas College","CA","Private",22,"76","Simpsons"
"Centre College","KY","Private",22,"77","Simpsons"
"Grinnell College","IA","Private",22,"78","Simpsons"
"Swarthmore College","PA","Private",22,"79","Simpsons"
"Wheaton College","IL","Private",22,"80","Simpsons"
"University of Tulsa","OK","Private",22,"81","Simpsons"
"St. Lawrence University","NY","Private",22,"82","Simpsons"
"Milwaukee School of Engineering","WI","Private",22,"83","Simpsons"
"Wellesley College","MA","Private",22,"84","Simpsons"
"St. Olaf College","MN","Private",22,"85","Simpsons"
"Harvard University","MA","Private",22,"86","Simpsons"
"Loyola University Chicago","IL","Private",22,"87","Simpsons"
"University of Mississippi","MS","Public",22,"88","Simpsons"
"University of Connecticut","CT","Public",22,"89","Simpsons"
"University of Kentucky","KY","Public",22,"90","Simpsons"
"University of Florida","FL","Public",22,"91","Simpsons"
"Pomona College","CA","Private",21,"92","Simpsons"
"Amherst College","MA","Private",21,"93","Simpsons"
"Trinity University","TX","Private",21,"94","Simpsons"
"Truman State University","MO","Public",21,"95","Simpsons"
"Pepperdine University","CA","Private",21,"96","Simpsons"
"Seattle University","WA","Private",21,"97","Simpsons"
"Massachusetts Institute of Technology","MA","Private",21,"98","Simpsons"
"Michigan Technological University","MI","Public",21,"99","Simpsons"
"Yale University","CT","Private",21,"100","Simpsons"
"Marquette University","WI","Private",21,"101","Simpsons"
"Fordham University","NY","Private",21,"102","Simpsons"
"University of Southern California","CA","Private",21,"103","Simpsons"
"Williams College","MA","Private",20,"104","Simpsons"
"Clark University","MA","Private",20,"105","Simpsons"
"Dickinson College","PA","Private",20,"106","Simpsons"
"Muhlenberg College","PA","Private",20,"107","Simpsons"
"Gettysburg College","PA","Private",20,"108","Simpsons"
"Drake University","IA","Private",20,"109","Simpsons"
"Stevens Institute of Technology","NJ","Private",20,"110","Simpsons"
"Johns Hopkins University","MD","Private",20,"111","Simpsons"
"Rensselaer Polytechnic Institute","NY","Private",20,"112","Simpsons"
"Chapman University","CA","Private",20,"113","Simpsons"
"Stanford University","CA","Private",20,"114","Simpsons"
"Northwestern University","IL","Private",20,"115","Simpsons"
"Boston University","MA","Private",20,"116","Simpsons"
"University of Kansas","KS","Public",20,"117","Simpsons"
"Lewis & Clark College","OR","Private",19,"118","Simpsons"
"Smith College","MA","Private",19,"119","Simpsons"
"Colorado College","CO","Private",19,"120","Simpsons"
"Vassar College","NY","Private",19,"121","Simpsons"
"Middlebury College","VT","Private",19,"122","Simpsons"
"Babson College","MA","Private",19,"123","Simpsons"
"Cedarville University","OH","Private",19,"124","Simpsons"
"Loyola University Maryland","MD","Private",19,"125","Simpsons"
"Emory University","GA","Private",19,"126","Simpsons"
"University of Rochester","NY","Private",19,"127","Simpsons"
"Lehigh University","PA","Private",19,"128","Simpsons"
"University of Pennsylvania","PA","Private",19,"129","Simpsons"
"University of Puget Sound","WA","Private",18,"130","Simpsons"
"Occidental College","CA","Private",18,"131","Simpsons"
"Ursinus College","PA","Private",18,"132","Simpsons"
"Hamilton College","NY","Private",18,"133","Simpsons"
"Wofford College","SC","Private",18,"134","Simpsons"
"Barnard College","NY","Private",18,"135","Simpsons"
"Wesleyan University","CT","Private",18,"136","Simpsons"
"University of San Diego","CA","Private",18,"137","Simpsons"
"Princeton University","NJ","Private",18,"138","Simpsons"
"American University","DC","Private",18,"139","Simpsons"
"Vanderbilt University","TN","Private",18,"140","Simpsons"
"Cornell University","NY","Private",18,"141","Simpsons"
"Syracuse University","NY","Private",18,"142","Simpsons"
"University of Iowa","IA","Public",18,"143","Simpsons"
"University of Arkansas","AR","Public",18,"144","Simpsons"
"New York University","NY","Private",18,"145","Simpsons"
"Kettering University","MI","Private",17,"146","Simpsons"
"Bryn Mawr College","PA","Private",17,"147","Simpsons"
"DePauw University","IN","Private",17,"148","Simpsons"
"Connecticut College","CT","Private",17,"149","Simpsons"
"Carleton College","MN","Private",17,"150","Simpsons"
"Brandeis University","MA","Private",17,"151","Simpsons"
"Hope College","MI","Private",17,"152","Simpsons"
"University of Richmond","VA","Private",17,"153","Simpsons"
"Rice University","TX","Private",17,"154","Simpsons"
"Providence College","RI","Private",17,"155","Simpsons"
"Dartmouth College","NH","Private",17,"156","Simpsons"
"Missouri University of Science and Technology","MO","Public",17,"157","Simpsons"
"Case Western Reserve University","OH","Private",17,"158","Simpsons"
"Georgia College & State University","GA","Public",17,"159","Simpsons"
"University of Wyoming","WY","Public",17,"160","Simpsons"
"University of North Dakota","ND","Public",17,"161","Simpsons"
"George Washington University","DC","Private",17,"162","Simpsons"
"University of Delaware","DE","Public",17,"163","Simpsons"
"Whitman College","WA","Private",16,"164","Simpsons"
"Haverford College","PA","Private",16,"165","Simpsons"
"Taylor University","IN","Private",16,"166","Simpsons"
"Rhodes College","TN","Private",16,"167","Simpsons"
"Bowdoin College","ME","Private",16,"168","Simpsons"
"Gonzaga University","WA","Private",16,"169","Simpsons"
"University of Denver","CO","Private",16,"170","Simpsons"
"Belmont University","TN","Private",16,"171","Simpsons"
"Washington University in St. Louis","MO","Private",16,"172","Simpsons"
"Baylor University","TX","Private",16,"173","Simpsons"
"University of Georgia","GA","Public",16,"174","Simpsons"
"Sarah Lawrence College","NY","Private",15,"175","Simpsons"
"Davidson College","NC","Private",15,"176","Simpsons"
"Trinity College","CT","Private",15,"177","Simpsons"
"Stonehill College","MA","Private",15,"178","Simpsons"
"Endicott College","MA","Private",15,"179","Simpsons"
"Bentley University","MA","Private",15,"180","Simpsons"
"Butler University","IN","Private",15,"181","Simpsons"
"Quinnipiac University","CT","Private",15,"182","Simpsons"
