"Pell_share_rank","College","State","Type","Freshmen_Pell_share","Pell_change_since_2011","Total_undergraduates","Endowment_per_student","Net_price,_mid-income","Pell_In_2011","Total_Pell_Students","Endowment","Endowment_Per_Pell_Student"
1,"Berea College","Ky.","Private",94,1,1400,1066000,4400,95,1316,1492400000,1134042.55319149
2,"Salem College","N.C.","Private",69,16,500,155000,9400,85,345,77500000,224637.68115942
3,"CUNY Baruch College","N.Y.","Public",56,5,15800,19000,6700,61,8848,300200000,33928.5714285714
4,"College of Mount St. Vincent","N.Y.","Private",52,-5,2300,17000,20500,47,1196,39100000,32692.3076923077
5,"College of the Ozarks","Mo.","Private",50,-20,1500,403000,7200,30,750,604500000,806000
6,"Agnes Scott College","Ga.","Private",47,4,1000,237000,11800,51,470,2.37e+08,504255.319148936
6,"Florida International University","Fla.","Public",47,-4,49000,7000,8300,43,23030,3.43e+08,14893.6170212766
8,"Pacific Union College","Calif.","Private",43,5,1000,42000,19500,48,430,4.2e+07,97674.4186046512
9,"Houghton College","N.Y.","Private",42,-1,900,92000,18100,41,378,82800000,219047.619047619
9,"University of New Mexico","N.M.","Public",42,4,16200,43000,17300,46,6804,696600000,102380.952380952
11,"Brescia University","Ky.","Private",41,-17,900,24000,13900,24,369,21600000,58536.5853658537
11,"Stockton University","N.J.","Public",41,0,8800,5000,19200,41,3608,4.4e+07,12195.1219512195
13,"Earlham College","Ind.","Private",40,9,700,619000,17300,49,280,433300000,1547500
13,"Lake Forest College","Ill.","Private",40,-2,1600,62000,19800,38,640,99200000,155000
13,"Millsaps College","Miss.","Private",40,19,700,148000,24500,59,280,103600000,370000
16,"Christian Brothers University","Tenn.","Private",39,-9,1500,35000,13800,30,585,52500000,89743.5897435897
16,"Hampshire College","Mass.","Private",39,17,500,110000,23500,56,195,5.5e+07,282051.282051282
16,"Lyon College","Ark.","Private",39,-13,700,173000,12500,26,273,121100000,443589.743589744
16,"Stony Brook University","N.Y.","Public",39,1,18000,19000,19200,40,7020,3.42e+08,48717.9487179487
16,"University of California, Irvine","Calif.","Public",39,1,29600,24000,10100,40,11544,710400000,61538.4615384615
21,"King University","Tenn.","Private",38,-4,1400,24000,20100,34,532,33600000,63157.8947368421
21,"Loyola University New Orleans","La.","Private",38,5,3200,80000,20400,43,1216,2.56e+08,210526.315789474
23,"Beloit College","Wis.","Private",37,13,1000,88000,15100,50,370,8.8e+07,237837.837837838
23,"University of the Pacific","Calif.","Private",37,2,3500,168000,14600,39,1295,5.88e+08,454054.054054054
25,"Knox College","Ill.","Private",35,8,1200,188000,18800,43,420,225600000,537142.857142857
25,"New College of Florida","Fla.","Public",35,9,600,78000,5200,44,210,46800000,222857.142857143
25,"Willamette University","Ore.","Private",35,8,1300,270000,29100,43,455,3.51e+08,771428.571428571
28,"Mount St. Mary’s University","Md.","Private",34,6,2100,30000,22600,40,714,6.3e+07,88235.2941176471
28,"New Mexico Institute of Mining and Technology","N.M.","Public",34,5,1200,71000,11000,39,408,85200000,208823.529411765
28,"Southwestern University","Texas","Private",34,10,1500,235000,22400,44,510,352500000,691176.470588235
28,"University at Buffalo","N.Y.","Public",34,6,22300,45000,20400,40,7582,1003500000,132352.941176471
32,"Allegheny College","Pa.","Private",33,4,1700,182000,19400,37,561,309400000,551515.151515151
32,"College of the Atlantic","Maine","Private",33,-10,400,237000,18200,23,132,94800000,718181.818181818
32,"Hanover College","Ind.","Private",33,0,1000,176000,17900,33,330,1.76e+08,533333.333333333
35,"Austin College","Texas","Private",32,0,1300,150000,20500,32,416,1.95e+08,468750
35,"Illinois Institute of Technology","Ill.","Private",32,4,3100,1e+05,19200,36,992,3.1e+08,312500
35,"Rowan University","N.J.","Public",32,1,15900,23000,23500,33,5088,365700000,71875
35,"University of Idaho","Idaho","Public",32,-6,8400,53000,11100,26,2688,445200000,165625
35,"University of Montana","Mont.","Public",32,-6,7000,45000,14700,26,2240,3.15e+08,140625
35,"William Jewell College","Mo.","Private",32,0,700,91000,15100,32,224,63700000,284375
41,"University of Dallas","Texas","Private",31,5,1400,69000,13100,36,434,96600000,222580.64516129
41,"University of Evansville","Ind.","Private",31,0,2000,91000,21700,31,620,1.82e+08,293548.387096774
43,"Bennington College","Vt.","Private",30,6,700,58000,22700,36,210,40600000,193333.333333333
43,"Kalamazoo College","Mich.","Private",30,12,1500,211000,20800,42,450,316500000,703333.333333333
43,"Ramapo College of New Jersey","N.J.","Public",30,5,5400,3000,14500,35,1620,16200000,10000
